prompt_id,prompt_text,template_type,category,subcategory,base_prompt_id,source_prompt_text,generation_method,token_count
unc_gib_00001,lgur jyju xbenjiq pcuq zpdk,photo_of_object,uncertain,gibberish,base_0001,a photo of a dog,random_gibberish_tokens,5
unc_gib_00002,eozejz hkqz nacojuit ogwxxke cerqswaf,photo_of_object,uncertain,gibberish,base_0002,a photo of a cat,random_gibberish_tokens,5
unc_gib_00003,irbiefiu puuubpik aauewvou oivkn kbzd,photo_of_object,uncertain,gibberish,base_0003,a photo of a chair,random_gibberish_tokens,5
unc_gib_00004,aljx terrczqa wrsdw waet qeqswtm,photo_of_object,uncertain,gibberish,base_0004,a photo of a table,random_gibberish_tokens,5
unc_gib_00005,uaatv vhdkx crxln gmdya vpeh,photo_of_object,uncertain,gibberish,base_0005,a photo of a cup,random_gibberish_tokens,5
unc_gib_00006,izwfefe jellar nisrfg pgccefwo eeanoefc,photo_of_object,uncertain,gibberish,base_0006,a photo of a bottle,random_gibberish_tokens,5
unc_gib_00007,skjlivw ailynv xcaw difir mjqhmb,photo_of_object,uncertain,gibberish,base_0007,a photo of a bicycle,random_gibberish_tokens,5
unc_gib_00008,rusjhm ykkekuaz qkbaevwf swsvwho kiukden,photo_of_object,uncertain,gibberish,base_0008,a photo of a car,random_gibberish_tokens,5
unc_gib_00009,gganrrxa biowelbq euqbr eqsqr owpdae,photo_of_object,uncertain,gibberish,base_0009,a photo of a rack,random_gibberish_tokens,5
unc_gib_00010,ugfjl yaeamq ezmuuip nrap oviwoxk,photo_of_object,uncertain,gibberish,base_0010,a photo of an apple,random_gibberish_tokens,5
unc_gib_00011,ssqt jlyiva okzoa kxwrus kjwetx,photo_of_object,uncertain,gibberish,base_0011,a photo of a banana,random_gibberish_tokens,5
unc_gib_00012,fihwcugt uthi ddcxaar yvsxicfe dhhst,photo_of_object,uncertain,gibberish,base_0012,a photo of a book,random_gibberish_tokens,5
unc_gib_00013,mokujw lamxo mlty ibxb hzlxto,photo_of_object,uncertain,gibberish,base_0013,a photo of a phone,random_gibberish_tokens,5
unc_gib_00014,nhtqud foawcp oegoozki rffgmlte qygiovb,photo_of_object,uncertain,gibberish,base_0014,a photo of a laptop,random_gibberish_tokens,5
unc_gib_00015,utopwn ekoto ecxfosg elqnunt dmafamac,photo_of_object,uncertain,gibberish,base_0015,a photo of a camera,random_gibberish_tokens,5
unc_gib_00016,rvhdqk ezlsusu rseoqx iqxaoi pjgzm,photo_of_object,uncertain,gibberish,base_0016,a photo of a backpack,random_gibberish_tokens,5
unc_gib_00017,paiewil tiioe ouqwp zatwyd ifctkep,photo_of_object,uncertain,gibberish,base_0017,a photo of a television,random_gibberish_tokens,5
unc_gib_00018,gaulpsip ilfojyae ewjeg,color_object,uncertain,gibberish,base_0018,a red dog,random_gibberish_tokens,3
unc_gib_00019,guhbpebc udpfk vzaofsdg,color_object,uncertain,gibberish,base_0019,a red cat,random_gibberish_tokens,3
