prompt_id,prompt_text,template_type,category,base_prompt_id,generation_method
base_0001,a photo of a dog,photo_of_object,certain,,template: a photo of a [object]
base_0002,a photo of a cat,photo_of_object,certain,,template: a photo of a [object]
base_0003,a photo of a chair,photo_of_object,certain,,template: a photo of a [object]
base_0004,a photo of a table,photo_of_object,certain,,template: a photo of a [object]
base_0005,a photo of a cup,photo_of_object,certain,,template: a photo of a [object]
base_0006,a photo of a bottle,photo_of_object,certain,,template: a photo of a [object]
base_0007,a photo of a bicycle,photo_of_object,certain,,template: a photo of a [object]
base_0008,a photo of a car,photo_of_object,certain,,template: a photo of a [object]
base_0009,a photo of a rack,photo_of_object,certain,,template: a photo of a [object]
base_0010,a photo of an apple,photo_of_object,certain,,template: a photo of a [object]
base_0011,a photo of a banana,photo_of_object,certain,,template: a photo of a [object]
base_0012,a photo of a book,photo_of_object,certain,,template: a photo of a [object]
base_0013,a photo of a phone,photo_of_object,certain,,template: a photo of a [object]
base_0014,a photo of a laptop,photo_of_object,certain,,template: a photo of a [object]
base_0015,a photo of a camera,photo_of_object,certain,,template: a photo of a [object]
base_0016,a photo of a backpack,photo_of_object,certain,,template: a photo of a [object]
base_0017,a photo of a television,photo_of_object,certain,,template: a photo of a [object]
base_0018,a red dog,color_object,certain,,template: a [color] [object]
base_0019,a red cat,color_object,certain,,template: a [color] [object]
base_0020,a red chair,color_object,certain,,template: a [color] [object]
base_0021,a red table,color_object,certain,,template: a [color] [object]
base_0022,a red cup,color_object,certain,,template: a [color] [object]
base_0023,a red bottle,color_object,certain,,template: a [color] [object]
base_0024,a red bicycle,color_object,certain,,template: a [color] [object]
base_0025,a red car,color_object,certain,,template: a [color] [object]
base_0026,a red rack,color_object,certain,,template: a [color] [object]
base_0027,a red apple,color_object,certain,,template: a [color] [object]
base_0028,a red banana,color_object,certain,,template: a [color] [object]
base_0029,a red book,color_object,certain,,template: a [color] [object]
base_0030,a red phone,color_object,certain,,template: a [color] [object]
base_0031,a red laptop,color_object,certain,,template: a [color] [object]
base_0032,a red camera,color_object,certain,,template: a [color] [object]
base_0033,a red backpack,color_object,certain,,template: a [color] [object]
base_0034,a red television,color_object,certain,,template: a [color] [object]
base_0035,a blue dog,color_object,certain,,template: a [color] [object]
base_0036,a blue cat,color_object,certain,,template: a [color] [object]
base_0037,a blue chair,color_object,certain,,template: a [color] [object]
base_0038,a blue table,color_object,certain,,template: a [color] [object]
base_0039,a blue cup,color_object,certain,,template: a [color] [object]
base_0040,a blue bottle,color_object,certain,,template: a [color] [object]
base_0041,a blue bicycle,color_object,certain,,template: a [color] [object]
base_0042,a blue car,color_object,certain,,template: a [color] [object]
base_0043,a blue rack,color_object,certain,,template: a [color] [object]
base_0044,a blue apple,color_object,certain,,template: a [color] [object]
base_0045,a blue banana,color_object,certain,,template: a [color] [object]
base_0046,a blue book,color_object,certain,,template: a [color] [object]
base_0047,a blue phone,color_object,certain,,template: a [color] [object]
base_0048,a blue laptop,color_object,certain,,template: a [color] [object]
