prompt_id,prompt_text,template_type,category,subcategory,base_prompt_id,source_prompt_text,generation_method,original_object,nonsense_attribute
unc_adv_00001,a transparent dog,attribute_object,uncertain,adversarial_nonsense,base_0256,a small dog,replace_attribute_with_nonsense_attribute,dog,transparent
unc_adv_00002,a liquid cat,attribute_object,uncertain,adversarial_nonsense,base_0257,a small cat,replace_attribute_with_nonsense_attribute,cat,liquid
unc_adv_00003,a liquid chair,attribute_object,uncertain,adversarial_nonsense,base_0258,a small chair,replace_attribute_with_nonsense_attribute,chair,liquid
unc_adv_00004,a transparent table,attribute_object,uncertain,adversarial_nonsense,base_0259,a small table,replace_attribute_with_nonsense_attribute,table,transparent
unc_adv_00005,a sleeping cup,attribute_object,uncertain,adversarial_nonsense,base_0260,a small cup,replace_attribute_with_nonsense_attribute,cup,sleeping
unc_adv_00006,an edible bottle,attribute_object,uncertain,adversarial_nonsense,base_0261,a small bottle,replace_attribute_with_nonsense_attribute,bottle,edible
unc_adv_00007,an edible bicycle,attribute_object,uncertain,adversarial_nonsense,base_0262,a small bicycle,replace_attribute_with_nonsense_attribute,bicycle,edible
unc_adv_00008,an edible car,attribute_object,uncertain,adversarial_nonsense,base_0263,a small car,replace_attribute_with_nonsense_attribute,car,edible
unc_adv_00009,a transparent rack,attribute_object,uncertain,adversarial_nonsense,base_0264,a small rack,replace_attribute_with_nonsense_attribute,rack,transparent
unc_adv_00010,a liquid apple,attribute_object,uncertain,adversarial_nonsense,base_0265,a small apple,replace_attribute_with_nonsense_attribute,apple,liquid
unc_adv_00011,a transparent banana,attribute_object,uncertain,adversarial_nonsense,base_0266,a small banana,replace_attribute_with_nonsense_attribute,banana,transparent
unc_adv_00012,a transparent book,attribute_object,uncertain,adversarial_nonsense,base_0267,a small book,replace_attribute_with_nonsense_attribute,book,transparent
unc_adv_00013,a melting phone,attribute_object,uncertain,adversarial_nonsense,base_0268,a small phone,replace_attribute_with_nonsense_attribute,phone,melting
unc_adv_00014,a liquid laptop,attribute_object,uncertain,adversarial_nonsense,base_0269,a small laptop,replace_attribute_with_nonsense_attribute,laptop,liquid
unc_adv_00015,a melting camera,attribute_object,uncertain,adversarial_nonsense,base_0270,a small camera,replace_attribute_with_nonsense_attribute,camera,melting
unc_adv_00016,a singing backpack,attribute_object,uncertain,adversarial_nonsense,base_0271,a small backpack,replace_attribute_with_nonsense_attribute,backpack,singing
unc_adv_00017,a liquid television,attribute_object,uncertain,adversarial_nonsense,base_0272,a small television,replace_attribute_with_nonsense_attribute,television,liquid
unc_adv_00018,a liquid dog,attribute_object,uncertain,adversarial_nonsense,base_0273,a big dog,replace_attribute_with_nonsense_attribute,dog,liquid
unc_adv_00019,a liquid cat,attribute_object,uncertain,adversarial_nonsense,base_0274,a big cat,replace_attribute_with_nonsense_attribute,cat,liquid
unc_adv_00020,an edible chair,attribute_object,uncertain,adversarial_nonsense,base_0275,a big chair,replace_attribute_with_nonsense_attribute,chair,edible
unc_adv_00021,an edible table,attribute_object,uncertain,adversarial_nonsense,base_0276,a big table,replace_attribute_with_nonsense_attribute,table,edible
unc_adv_00022,a melting cup,attribute_object,uncertain,adversarial_nonsense,base_0277,a big cup,replace_attribute_with_nonsense_attribute,cup,melting
unc_adv_00023,a melting bottle,attribute_object,uncertain,adversarial_nonsense,base_0278,a big bottle,replace_attribute_with_nonsense_attribute,bottle,melting
unc_adv_00024,a liquid bicycle,attribute_object,uncertain,adversarial_nonsense,base_0279,a big bicycle,replace_attribute_with_nonsense_attribute,bicycle,liquid
unc_adv_00025,a melting car,attribute_object,uncertain,adversarial_nonsense,base_0280,a big car,replace_attribute_with_nonsense_attribute,car,melting
