prompt_id,prompt_text,template_type,category,subcategory,base_prompt_id,source_prompt_text,generation_method,contradiction
unc_adv_00001,a square circle,a_plus_concept,uncertain,clear_factual_contradiction,,square circle,logical_contradiction_template,square circle
unc_adv_00002,a one-sided polygon,a_plus_concept,uncertain,clear_factual_contradiction,,one-sided polygon,logical_contradiction_template,one-sided polygon
unc_adv_00003,an edgeless polygon,a_plus_concept,uncertain,clear_factual_contradiction,,edgeless polygon,logical_contradiction_template,edgeless polygon
unc_adv_00004,a scalene equilateral triangle,a_plus_concept,uncertain,clear_factual_contradiction,,scalene equilateral triangle,logical_contradiction_template,scalene equilateral triangle
unc_adv_00005,a finite unbounded region,a_plus_concept,uncertain,clear_factual_contradiction,,finite unbounded region,logical_contradiction_template,finite unbounded region
unc_adv_00006,a triangular sphere,a_plus_concept,uncertain,clear_factual_contradiction,,triangular sphere,logical_contradiction_template,triangular sphere
unc_adv_00007,a non three-sided triangle,a_plus_concept,uncertain,clear_factual_contradiction,,non three-sided triangle,logical_contradiction_template,non three-sided triangle
unc_adv_00008,a rectangular circle,a_plus_concept,uncertain,clear_factual_contradiction,,rectangular circle,logical_contradiction_template,rectangular circle
unc_adv_00009,a triangular circle,a_plus_concept,uncertain,clear_factual_contradiction,,triangular circle,logical_contradiction_template,triangular circle
unc_adv_00010,a two-dimensional volume,a_plus_concept,uncertain,clear_factual_contradiction,,two-dimensional volume,logical_contradiction_template,two-dimensional volume
unc_adv_00011,a one-dimensional surface,a_plus_concept,uncertain,clear_factual_contradiction,,one-dimensional surface,logical_contradiction_template,one-dimensional surface
unc_adv_00012,an obtuse right angle,a_plus_concept,uncertain,clear_factual_contradiction,,obtuse right angle,logical_contradiction_template,obtuse right angle
unc_adv_00013,an acute obtuse angle,a_plus_concept,uncertain,clear_factual_contradiction,,acute obtuse angle,logical_contradiction_template,acute obtuse angle
unc_adv_00014,a convergent divergent series,a_plus_concept,uncertain,clear_factual_contradiction,,convergent divergent series,logical_contradiction_template,convergent divergent series
unc_adv_00015,a continuous discrete function,a_plus_concept,uncertain,clear_factual_contradiction,,continuous discrete function,logical_contradiction_template,continuous discrete function
unc_adv_00016,a bijective non-invertible function,a_plus_concept,uncertain,clear_factual_contradiction,,bijective non-invertible function,logical_contradiction_template,bijective non-invertible function
unc_adv_00017,a square sphere,a_plus_concept,uncertain,clear_factual_contradiction,,square sphere,logical_contradiction_template,square sphere
unc_adv_00018,a circular cube,a_plus_concept,uncertain,clear_factual_contradiction,,circular cube,logical_contradiction_template,circular cube
unc_adv_00019,a rectangular sphere,a_plus_concept,uncertain,clear_factual_contradiction,,rectangular sphere,logical_contradiction_template,rectangular sphere
unc_adv_00020,a dimensionless cube,a_plus_concept,uncertain,clear_factual_contradiction,,dimensionless cube,logical_contradiction_template,dimensionless cube
unc_adv_00021,a parallel intersecting lines,a_plus_concept,uncertain,clear_factual_contradiction,,parallel intersecting lines,logical_contradiction_template,parallel intersecting lines
unc_adv_00022,a perpendicular parallel lines,a_plus_concept,uncertain,clear_factual_contradiction,,perpendicular parallel lines,logical_contradiction_template,perpendicular parallel lines
unc_adv_00023,a curved straight line,a_plus_concept,uncertain,clear_factual_contradiction,,curved straight line,logical_contradiction_template,curved straight line
unc_adv_00024,a zero-dimensional solid,a_plus_concept,uncertain,clear_factual_contradiction,,zero-dimensional solid,logical_contradiction_template,zero-dimensional solid
unc_adv_00025,a two-sided triangle,a_plus_concept,uncertain,clear_factual_contradiction,,two-sided triangle,logical_contradiction_template,two-sided triangle
unc_adv_00026,an uncountable finite set,a_plus_concept,uncertain,clear_factual_contradiction,,uncountable finite set,logical_contradiction_template,uncountable finite set
unc_adv_00027,an open closed interval,a_plus_concept,uncertain,clear_factual_contradiction,,open closed interval,logical_contradiction_template,open closed interval
unc_adv_00028,an acyclic cycle,a_plus_concept,uncertain,clear_factual_contradiction,,acyclic cycle,logical_contradiction_template,acyclic cycle
unc_adv_00029,an even odd integer,a_plus_concept,uncertain,clear_factual_contradiction,,even odd integer,logical_contradiction_template,even odd integer
unc_adv_00030,a rational irrational number,a_plus_concept,uncertain,clear_factual_contradiction,,rational irrational number,logical_contradiction_template,rational irrational number
unc_adv_00031,a negative natural number,a_plus_concept,uncertain,clear_factual_contradiction,,negative natural number,logical_contradiction_template,negative natural number
unc_adv_00032,an empty set with elements,a_plus_concept,uncertain,clear_factual_contradiction,,empty set with elements,logical_contradiction_template,empty set with elements
unc_adv_00033,an irrational integer,a_plus_concept,uncertain,clear_factual_contradiction,,irrational integer,logical_contradiction_template,irrational integer
unc_adv_00034,a disconnected connected graph,a_plus_concept,uncertain,clear_factual_contradiction,,disconnected connected graph,logical_contradiction_template,disconnected connected graph
unc_adv_00035,a singleton set of two elements,a_plus_concept,uncertain,clear_factual_contradiction,,singleton set of two elements,logical_contradiction_template,singleton set of two elements
unc_adv_00036,a smallest positive real number,a_plus_concept,uncertain,clear_factual_contradiction,,smallest positive real number,logical_contradiction_template,smallest positive real number
unc_adv_00037,a living corpse,a_plus_concept,uncertain,clear_factual_contradiction,,living corpse,logical_contradiction_template,living corpse
unc_adv_00038,a dead living being,a_plus_concept,uncertain,clear_factual_contradiction,,dead living being,logical_contradiction_template,dead living being
unc_adv_00039,a blind seer,a_plus_concept,uncertain,clear_factual_contradiction,,blind seer,logical_contradiction_template,blind seer
unc_adv_00040,a silent speaker,a_plus_concept,uncertain,clear_factual_contradiction,,silent speaker,logical_contradiction_template,silent speaker
unc_adv_00041,a speaking mute,a_plus_concept,uncertain,clear_factual_contradiction,,speaking mute,logical_contradiction_template,speaking mute
unc_adv_00042,a hearing deaf listener,a_plus_concept,uncertain,clear_factual_contradiction,,hearing deaf listener,logical_contradiction_template,hearing deaf listener
unc_adv_00043,a breathing corpse,a_plus_concept,uncertain,clear_factual_contradiction,,breathing corpse,logical_contradiction_template,breathing corpse
unc_adv_00044,a sterile reproduction,a_plus_concept,uncertain,clear_factual_contradiction,,sterile reproduction,logical_contradiction_template,sterile reproduction
unc_adv_00045,an asexual sexual reproduction,a_plus_concept,uncertain,clear_factual_contradiction,,asexual sexual reproduction,logical_contradiction_template,asexual sexual reproduction
unc_adv_00046,an anaerobic obligate aerobe,a_plus_concept,uncertain,clear_factual_contradiction,,anaerobic obligate aerobe,logical_contradiction_template,anaerobic obligate aerobe
unc_adv_00047,a non-dividing mitosis,a_plus_concept,uncertain,clear_factual_contradiction,,non-dividing mitosis,logical_contradiction_template,non-dividing mitosis
unc_adv_00048,a transparent opaque object,a_plus_concept,uncertain,clear_factual_contradiction,,transparent opaque object,logical_contradiction_template,transparent opaque object
unc_adv_00049,a rigid fluid,a_plus_concept,uncertain,clear_factual_contradiction,,rigid fluid,logical_contradiction_template,rigid fluid
unc_adv_00050,an illuminated shadow,a_plus_concept,uncertain,clear_factual_contradiction,,illuminated shadow,logical_contradiction_template,illuminated shadow
unc_adv_00051,a weightless mass,a_plus_concept,uncertain,clear_factual_contradiction,,weightless mass,logical_contradiction_template,weightless mass
