prompt_id,prompt_text,template_type,category,subcategory,base_prompt_id,source_prompt_text,generation_method,original_word,pseudoword
unc_nonword_00001,a bikeg of a dog,photo_of_object,uncertain,non_word,base_0001,a photo of a dog,pseudoword_replacement,photo,bikeg
unc_nonword_00002,a waxoc of a cat,photo_of_object,uncertain,non_word,base_0002,a photo of a cat,pseudoword_replacement,photo,waxoc
unc_nonword_00003,a dekuy of a chair,photo_of_object,uncertain,non_word,base_0003,a photo of a chair,pseudoword_replacement,photo,dekuy
unc_nonword_00004,a wezur of a table,photo_of_object,uncertain,non_word,base_0004,a photo of a table,pseudoword_replacement,photo,wezur
unc_nonword_00005,a sulah of a cup,photo_of_object,uncertain,non_word,base_0005,a photo of a cup,pseudoword_replacement,photo,sulah
unc_nonword_00006,a photo of a nigena,photo_of_object,uncertain,non_word,base_0006,a photo of a bottle,pseudoword_replacement,bottle,nigena
unc_nonword_00007,a qapiy of a bicycle,photo_of_object,uncertain,non_word,base_0007,a photo of a bicycle,pseudoword_replacement,photo,qapiy
unc_nonword_00008,a photo of a cowa,photo_of_object,uncertain,non_word,base_0008,a photo of a car,pseudoword_replacement,car,cowa
unc_nonword_00009,a photo of a dumu,photo_of_object,uncertain,non_word,base_0009,a photo of a rack,pseudoword_replacement,rack,dumu
unc_nonword_00010,a photo of an xedak,photo_of_object,uncertain,non_word,base_0010,a photo of an apple,pseudoword_replacement,apple,xedak
unc_nonword_00011,a photo of a defolo,photo_of_object,uncertain,non_word,base_0011,a photo of a banana,pseudoword_replacement,banana,defolo
unc_nonword_00012,a photo of a hipe,photo_of_object,uncertain,non_word,base_0012,a photo of a book,pseudoword_replacement,book,hipe
unc_nonword_00013,a photo of a zayew,photo_of_object,uncertain,non_word,base_0013,a photo of a phone,pseudoword_replacement,phone,zayew
unc_nonword_00014,a hoqiz of a laptop,photo_of_object,uncertain,non_word,base_0014,a photo of a laptop,pseudoword_replacement,photo,hoqiz
unc_nonword_00015,a nakan of a camera,photo_of_object,uncertain,non_word,base_0015,a photo of a camera,pseudoword_replacement,photo,nakan
unc_nonword_00016,a photo of a lajunezo,photo_of_object,uncertain,non_word,base_0016,a photo of a backpack,pseudoword_replacement,backpack,lajunezo
unc_nonword_00017,a photo of a zogigewulu,photo_of_object,uncertain,non_word,base_0017,a photo of a television,pseudoword_replacement,television,zogigewulu
unc_nonword_00018,a red xope,color_object,uncertain,non_word,base_0018,a red dog,pseudoword_replacement,dog,xope
unc_nonword_00019,a voda cat,color_object,uncertain,non_word,base_0019,a red cat,pseudoword_replacement,red,voda
unc_nonword_00020,a geru chair,color_object,uncertain,non_word,base_0020,a red chair,pseudoword_replacement,red,geru
unc_nonword_00021,a qoyo table,color_object,uncertain,non_word,base_0021,a red table,pseudoword_replacement,red,qoyo
unc_nonword_00022,a red wafu,color_object,uncertain,non_word,base_0022,a red cup,pseudoword_replacement,cup,wafu
unc_nonword_00023,a red zifire,color_object,uncertain,non_word,base_0023,a red bottle,pseudoword_replacement,bottle,zifire
unc_nonword_00024,a red bivevaz,color_object,uncertain,non_word,base_0024,a red bicycle,pseudoword_replacement,bicycle,bivevaz
unc_nonword_00025,a red zuye,color_object,uncertain,non_word,base_0025,a red car,pseudoword_replacement,car,zuye
unc_nonword_00026,a pewu rack,color_object,uncertain,non_word,base_0026,a red rack,pseudoword_replacement,red,pewu
unc_nonword_00027,a yita apple,color_object,uncertain,non_word,base_0027,a red apple,pseudoword_replacement,red,yita
unc_nonword_00028,a pika banana,color_object,uncertain,non_word,base_0028,a red banana,pseudoword_replacement,red,pika
unc_nonword_00029,a xado book,color_object,uncertain,non_word,base_0029,a red book,pseudoword_replacement,red,xado
unc_nonword_00030,a wego phone,color_object,uncertain,non_word,base_0030,a red phone,pseudoword_replacement,red,wego
unc_nonword_00031,a luyo laptop,color_object,uncertain,non_word,base_0031,a red laptop,pseudoword_replacement,red,luyo
unc_nonword_00032,a wemo camera,color_object,uncertain,non_word,base_0032,a red camera,pseudoword_replacement,red,wemo
unc_nonword_00033,a red susakedi,color_object,uncertain,non_word,base_0033,a red backpack,pseudoword_replacement,backpack,susakedi
unc_nonword_00034,a xuku television,color_object,uncertain,non_word,base_0034,a red television,pseudoword_replacement,red,xuku
unc_nonword_00035,a baza dog,color_object,uncertain,non_word,base_0035,a blue dog,pseudoword_replacement,blue,baza
unc_nonword_00036,a dana cat,color_object,uncertain,non_word,base_0036,a blue cat,pseudoword_replacement,blue,dana
unc_nonword_00037,a loju chair,color_object,uncertain,non_word,base_0037,a blue chair,pseudoword_replacement,blue,loju
unc_nonword_00038,a xute table,color_object,uncertain,non_word,base_0038,a blue table,pseudoword_replacement,blue,xute
unc_nonword_00039,a blue refa,color_object,uncertain,non_word,base_0039,a blue cup,pseudoword_replacement,cup,refa
unc_nonword_00040,a blue poroca,color_object,uncertain,non_word,base_0040,a blue bottle,pseudoword_replacement,bottle,poroca
unc_nonword_00041,a qife bicycle,color_object,uncertain,non_word,base_0041,a blue bicycle,pseudoword_replacement,blue,qife
unc_nonword_00042,a juse car,color_object,uncertain,non_word,base_0042,a blue car,pseudoword_replacement,blue,juse
unc_nonword_00043,a blue hise,color_object,uncertain,non_word,base_0043,a blue rack,pseudoword_replacement,rack,hise
unc_nonword_00044,a sufa apple,color_object,uncertain,non_word,base_0044,a blue apple,pseudoword_replacement,blue,sufa
unc_nonword_00045,a deho banana,color_object,uncertain,non_word,base_0045,a blue banana,pseudoword_replacement,blue,deho
unc_nonword_00046,a blue teqa,color_object,uncertain,non_word,base_0046,a blue book,pseudoword_replacement,book,teqa
unc_nonword_00047,a qaqi phone,color_object,uncertain,non_word,base_0047,a blue phone,pseudoword_replacement,blue,qaqi
unc_nonword_00048,a blue mowoge,color_object,uncertain,non_word,base_0048,a blue laptop,pseudoword_replacement,laptop,mowoge
unc_nonword_00049,a blue jaxuci,color_object,uncertain,non_word,base_0049,a blue camera,pseudoword_replacement,camera,jaxuci
unc_nonword_00050,a cutu backpack,color_object,uncertain,non_word,base_0050,a blue backpack,pseudoword_replacement,blue,cutu
unc_nonword_00051,a cude television,color_object,uncertain,non_word,base_0051,a blue television,pseudoword_replacement,blue,cude
unc_nonword_00052,a yakof dog,color_object,uncertain,non_word,base_0052,a green dog,pseudoword_replacement,green,yakof
unc_nonword_00053,a xucud cat,color_object,uncertain,non_word,base_0053,a green cat,pseudoword_replacement,green,xucud
unc_nonword_00054,a green xuvil,color_object,uncertain,non_word,base_0054,a green chair,pseudoword_replacement,chair,xuvil
unc_nonword_00055,a nelog table,color_object,uncertain,non_word,base_0055,a green table,pseudoword_replacement,green,nelog
unc_nonword_00056,a green sida,color_object,uncertain,non_word,base_0056,a green cup,pseudoword_replacement,cup,sida
unc_nonword_00057,a green yufawe,color_object,uncertain,non_word,base_0057,a green bottle,pseudoword_replacement,bottle,yufawe
unc_nonword_00058,a green gidepih,color_object,uncertain,non_word,base_0058,a green bicycle,pseudoword_replacement,bicycle,gidepih
unc_nonword_00059,a green wiyu,color_object,uncertain,non_word,base_0059,a green car,pseudoword_replacement,car,wiyu
unc_nonword_00060,a wifel rack,color_object,uncertain,non_word,base_0060,a green rack,pseudoword_replacement,green,wifel
unc_nonword_00061,a fugim apple,color_object,uncertain,non_word,base_0061,a green apple,pseudoword_replacement,green,fugim
unc_nonword_00062,a neziv banana,color_object,uncertain,non_word,base_0062,a green banana,pseudoword_replacement,green,neziv
unc_nonword_00063,a green lado,color_object,uncertain,non_word,base_0063,a green book,pseudoword_replacement,book,lado
unc_nonword_00064,a green canez,color_object,uncertain,non_word,base_0064,a green phone,pseudoword_replacement,phone,canez
unc_nonword_00065,a green howowa,color_object,uncertain,non_word,base_0065,a green laptop,pseudoword_replacement,laptop,howowa
unc_nonword_00066,a dewap camera,color_object,uncertain,non_word,base_0066,a green camera,pseudoword_replacement,green,dewap
unc_nonword_00067,a recip backpack,color_object,uncertain,non_word,base_0067,a green backpack,pseudoword_replacement,green,recip
unc_nonword_00068,a pekap television,color_object,uncertain,non_word,base_0068,a green television,pseudoword_replacement,green,pekap
unc_nonword_00069,a yellow yeke,color_object,uncertain,non_word,base_0069,a yellow dog,pseudoword_replacement,dog,yeke
unc_nonword_00070,a rahire cat,color_object,uncertain,non_word,base_0070,a yellow cat,pseudoword_replacement,yellow,rahire
unc_nonword_00071,a yellow haqat,color_object,uncertain,non_word,base_0071,a yellow chair,pseudoword_replacement,chair,haqat
unc_nonword_00072,a jopike table,color_object,uncertain,non_word,base_0072,a yellow table,pseudoword_replacement,yellow,jopike
unc_nonword_00073,a jonidi cup,color_object,uncertain,non_word,base_0073,a yellow cup,pseudoword_replacement,yellow,jonidi
