prompt_id,prompt_text,template_type,category,subcategory,base_prompt_id,source_prompt_text,generation_method,corrupted_word
unc_00001,a hoto of a dog,photo_of_object,uncertain,corrupted_noisy,base_0001,a photo of a dog,delete_char,photo
unc_00002,a photo of a dhog,photo_of_object,uncertain,corrupted_noisy,base_0001,a photo of a dog,insert_char,dog
unc_00003,a whoto of a dog,photo_of_object,uncertain,corrupted_noisy,base_0001,a photo of a dog,substitute_char,photo
unc_00004,a phoot of a dog,photo_of_object,uncertain,corrupted_noisy,base_0001,a photo of a dog,swap_adjacent_chars,photo
unc_00005,a phot of a dog,photo_of_object,uncertain,corrupted_noisy,base_0001,a photo of a dog,truncate_word,photo
unc_00006,a poto of a cat,photo_of_object,uncertain,corrupted_noisy,base_0002,a photo of a cat,delete_char,photo
unc_00007,a photto of a cat,photo_of_object,uncertain,corrupted_noisy,base_0002,a photo of a cat,insert_char,photo
unc_00008,a photg of a cat,photo_of_object,uncertain,corrupted_noisy,base_0002,a photo of a cat,substitute_char,photo
unc_00009,a photo of a act,photo_of_object,uncertain,corrupted_noisy,base_0002,a photo of a cat,swap_adjacent_chars,cat
unc_00010,a photo of a ca,photo_of_object,uncertain,corrupted_noisy,base_0002,a photo of a cat,truncate_word,cat
unc_00011,a photo of a hair,photo_of_object,uncertain,corrupted_noisy,base_0003,a photo of a chair,delete_char,chair
unc_00012,a photon of a chair,photo_of_object,uncertain,corrupted_noisy,base_0003,a photo of a chair,insert_char,photo
unc_00013,a photo of a chfir,photo_of_object,uncertain,corrupted_noisy,base_0003,a photo of a chair,substitute_char,chair
unc_00014,a phtoo of a chair,photo_of_object,uncertain,corrupted_noisy,base_0003,a photo of a chair,swap_adjacent_chars,photo
unc_00015,a phot of a chair,photo_of_object,uncertain,corrupted_noisy,base_0003,a photo of a chair,truncate_word,photo
unc_00016,a photo of a able,photo_of_object,uncertain,corrupted_noisy,base_0004,a photo of a table,delete_char,table
unc_00017,a photo of a tatble,photo_of_object,uncertain,corrupted_noisy,base_0004,a photo of a table,insert_char,table
unc_00018,a photo of a yable,photo_of_object,uncertain,corrupted_noisy,base_0004,a photo of a table,substitute_char,table
unc_00019,a photo of a atble,photo_of_object,uncertain,corrupted_noisy,base_0004,a photo of a table,swap_adjacent_chars,table
unc_00020,a photo of a tabl,photo_of_object,uncertain,corrupted_noisy,base_0004,a photo of a table,truncate_word,table
unc_00021,a photo of a cu,photo_of_object,uncertain,corrupted_noisy,base_0005,a photo of a cup,delete_char,cup
unc_00022,a photo of a cwup,photo_of_object,uncertain,corrupted_noisy,base_0005,a photo of a cup,insert_char,cup
unc_00023,a whoto of a cup,photo_of_object,uncertain,corrupted_noisy,base_0005,a photo of a cup,substitute_char,photo
unc_00024,a phtoo of a cup,photo_of_object,uncertain,corrupted_noisy,base_0005,a photo of a cup,swap_adjacent_chars,photo
unc_00025,a phot of a cup,photo_of_object,uncertain,corrupted_noisy,base_0005,a photo of a cup,truncate_word,photo
unc_00026,a phoo of a bottle,photo_of_object,uncertain,corrupted_noisy,base_0006,a photo of a bottle,delete_char,photo
unc_00027,a photo of a botutle,photo_of_object,uncertain,corrupted_noisy,base_0006,a photo of a bottle,insert_char,bottle
unc_00028,a photo of a blttle,photo_of_object,uncertain,corrupted_noisy,base_0006,a photo of a bottle,substitute_char,bottle
unc_00029,a photo of a btotle,photo_of_object,uncertain,corrupted_noisy,base_0006,a photo of a bottle,swap_adjacent_chars,bottle
unc_00030,a photo of a bot,photo_of_object,uncertain,corrupted_noisy,base_0006,a photo of a bottle,truncate_word,bottle
unc_00031,a phot of a bicycle,photo_of_object,uncertain,corrupted_noisy,base_0007,a photo of a bicycle,delete_char,photo
unc_00032,a photxo of a bicycle,photo_of_object,uncertain,corrupted_noisy,base_0007,a photo of a bicycle,insert_char,photo
unc_00033,a ppoto of a bicycle,photo_of_object,uncertain,corrupted_noisy,base_0007,a photo of a bicycle,substitute_char,photo
unc_00034,a photo of a biyccle,photo_of_object,uncertain,corrupted_noisy,base_0007,a photo of a bicycle,swap_adjacent_chars,bicycle
unc_00035,a ph of a bicycle,photo_of_object,uncertain,corrupted_noisy,base_0007,a photo of a bicycle,truncate_word,photo
unc_00036,a photo of a ar,photo_of_object,uncertain,corrupted_noisy,base_0008,a photo of a car,delete_char,car
unc_00037,a zphoto of a car,photo_of_object,uncertain,corrupted_noisy,base_0008,a photo of a car,insert_char,photo
unc_00038,a photo of a cjr,photo_of_object,uncertain,corrupted_noisy,base_0008,a photo of a car,substitute_char,car
unc_00039,a pohto of a car,photo_of_object,uncertain,corrupted_noisy,base_0008,a photo of a car,swap_adjacent_chars,photo
unc_00040,a photo of a ca,photo_of_object,uncertain,corrupted_noisy,base_0008,a photo of a car,truncate_word,car
unc_00041,a phoo of a rack,photo_of_object,uncertain,corrupted_noisy,base_0009,a photo of a rack,delete_char,photo
unc_00042,a photo of a racek,photo_of_object,uncertain,corrupted_noisy,base_0009,a photo of a rack,insert_char,rack
unc_00043,a photo of a rick,photo_of_object,uncertain,corrupted_noisy,base_0009,a photo of a rack,substitute_char,rack
unc_00044,a photo of a rakc,photo_of_object,uncertain,corrupted_noisy,base_0009,a photo of a rack,swap_adjacent_chars,rack
unc_00045,a photo of a ra,photo_of_object,uncertain,corrupted_noisy,base_0009,a photo of a rack,truncate_word,rack
unc_00046,a photo of an aple,photo_of_object,uncertain,corrupted_noisy,base_0010,a photo of an apple,delete_char,apple
unc_00047,a photpo of an apple,photo_of_object,uncertain,corrupted_noisy,base_0010,a photo of an apple,insert_char,photo
unc_00048,a dhoto of an apple,photo_of_object,uncertain,corrupted_noisy,base_0010,a photo of an apple,substitute_char,photo
unc_00049,a pohto of an apple,photo_of_object,uncertain,corrupted_noisy,base_0010,a photo of an apple,swap_adjacent_chars,photo
unc_00050,a photo of an ap,photo_of_object,uncertain,corrupted_noisy,base_0010,a photo of an apple,truncate_word,apple
unc_00051,a phoo of a banana,photo_of_object,uncertain,corrupted_noisy,base_0011,a photo of a banana,delete_char,photo
unc_00052,a photo of a banaona,photo_of_object,uncertain,corrupted_noisy,base_0011,a photo of a banana,insert_char,banana
unc_00053,a photo of a banaaa,photo_of_object,uncertain,corrupted_noisy,base_0011,a photo of a banana,substitute_char,banana
unc_00054,a phtoo of a banana,photo_of_object,uncertain,corrupted_noisy,base_0011,a photo of a banana,swap_adjacent_chars,photo
unc_00055,a photo of a banan,photo_of_object,uncertain,corrupted_noisy,base_0011,a photo of a banana,truncate_word,banana
unc_00056,a photo of a boo,photo_of_object,uncertain,corrupted_noisy,base_0012,a photo of a book,delete_char,book
unc_00057,a phoato of a book,photo_of_object,uncertain,corrupted_noisy,base_0012,a photo of a book,insert_char,photo
unc_00058,a photo of a brok,photo_of_object,uncertain,corrupted_noisy,base_0012,a photo of a book,substitute_char,book
unc_00059,a phtoo of a book,photo_of_object,uncertain,corrupted_noisy,base_0012,a photo of a book,swap_adjacent_chars,photo
unc_00060,a phot of a book,photo_of_object,uncertain,corrupted_noisy,base_0012,a photo of a book,truncate_word,photo
unc_00061,a photo of a pone,photo_of_object,uncertain,corrupted_noisy,base_0013,a photo of a phone,delete_char,phone
unc_00062,a photko of a phone,photo_of_object,uncertain,corrupted_noisy,base_0013,a photo of a phone,insert_char,photo
unc_00063,a photo of a dhone,photo_of_object,uncertain,corrupted_noisy,base_0013,a photo of a phone,substitute_char,phone
unc_00064,a photo of a phnoe,photo_of_object,uncertain,corrupted_noisy,base_0013,a photo of a phone,swap_adjacent_chars,phone
