prompt_id,prompt_text,template_type,category,subcategory,base_prompt_id,source_prompt_text,generation_method,original_word_order
unc_wordsalad_00001,a of a dog photo,photo_of_object,uncertain,word_salad,base_0001,a photo of a dog,word_shuffle,a photo of a dog
unc_wordsalad_00002,cat a of a photo,photo_of_object,uncertain,word_salad,base_0002,a photo of a cat,word_shuffle,a photo of a cat
unc_wordsalad_00003,of photo a a chair,photo_of_object,uncertain,word_salad,base_0003,a photo of a chair,word_shuffle,a photo of a chair
unc_wordsalad_00004,photo a a of table,photo_of_object,uncertain,word_salad,base_0004,a photo of a table,word_shuffle,a photo of a table
unc_wordsalad_00005,cup a a of photo,photo_of_object,uncertain,word_salad,base_0005,a photo of a cup,word_shuffle,a photo of a cup
unc_wordsalad_00006,of a photo a bottle,photo_of_object,uncertain,word_salad,base_0006,a photo of a bottle,word_shuffle,a photo of a bottle
unc_wordsalad_00007,a a of photo bicycle,photo_of_object,uncertain,word_salad,base_0007,a photo of a bicycle,word_shuffle,a photo of a bicycle
unc_wordsalad_00008,a of car a photo,photo_of_object,uncertain,word_salad,base_0008,a photo of a car,word_shuffle,a photo of a car
unc_wordsalad_00009,a a rack photo of,photo_of_object,uncertain,word_salad,base_0009,a photo of a rack,word_shuffle,a photo of a rack
unc_wordsalad_00010,a of apple an photo,photo_of_object,uncertain,word_salad,base_0010,a photo of an apple,word_shuffle,a photo of an apple
unc_wordsalad_00011,a a of photo banana,photo_of_object,uncertain,word_salad,base_0011,a photo of a banana,word_shuffle,a photo of a banana
unc_wordsalad_00012,a a of book photo,photo_of_object,uncertain,word_salad,base_0012,a photo of a book,word_shuffle,a photo of a book
unc_wordsalad_00013,phone a a photo of,photo_of_object,uncertain,word_salad,base_0013,a photo of a phone,word_shuffle,a photo of a phone
unc_wordsalad_00014,laptop a of a photo,photo_of_object,uncertain,word_salad,base_0014,a photo of a laptop,word_shuffle,a photo of a laptop
unc_wordsalad_00015,photo a a of camera,photo_of_object,uncertain,word_salad,base_0015,a photo of a camera,word_shuffle,a photo of a camera
unc_wordsalad_00016,a a of photo backpack,photo_of_object,uncertain,word_salad,base_0016,a photo of a backpack,word_shuffle,a photo of a backpack
unc_wordsalad_00017,television a a photo of,photo_of_object,uncertain,word_salad,base_0017,a photo of a television,word_shuffle,a photo of a television
unc_wordsalad_00018,dog a red,color_object,uncertain,word_salad,base_0018,a red dog,word_shuffle,a red dog
unc_wordsalad_00019,cat a red,color_object,uncertain,word_salad,base_0019,a red cat,word_shuffle,a red cat
unc_wordsalad_00020,red a chair,color_object,uncertain,word_salad,base_0020,a red chair,word_shuffle,a red chair
unc_wordsalad_00021,red a table,color_object,uncertain,word_salad,base_0021,a red table,word_shuffle,a red table
unc_wordsalad_00022,a cup red,color_object,uncertain,word_salad,base_0022,a red cup,word_shuffle,a red cup
